Date;18.11.2022;;#;N_mob;Amp;;#;P_mob;Amp
Time;12:34:19;;1;3,36107;-2;;1;2,62513;-18
Device name;KE2-0-086-2018;;2;3,35548;-2;;2;2,62185;-21
negMobCoeff;50,41609955;;3;3,34991;-4;;3;2,61859;-21
posMobCoeff;52,50264359;;4;3,34435;0;;4;2,61532;-25
;;;5;3,33881;0;;5;2,61207;-24
;;;6;3,3333;0;;6;2,60883;-19
;;;7;3,3278;1;;7;2,60559;-15
;;;8;3,32231;0;;8;2,60236;-15
;;;9;3,31685;1;;9;2,59914;-11
;;;10;3,3114;3;;10;2,59593;-11
;;;11;3,30597;5;;11;2,59272;-9
;;;12;3,30056;5;;12;2,58953;-9
;;;13;3,29517;5;;13;2,58634;-9
;;;14;3,28979;7;;14;2,58316;-4
;;;15;3,28444;5;;15;2,57998;-4
;;;16;3,2791;7;;16;2,57682;-2
;;;17;3,27377;8;;17;2,57366;-4
;;;18;3,26847;6;;18;2,57051;-1
;;;19;3,26318;4;;19;2,56737;-5
;;;20;3,25791;1;;20;2,56423;1
;;;21;3,25265;0;;21;2,5611;1
;;;22;3,24741;0;;22;2,55799;2
;;;23;3,24219;-2;;23;2,55487;5
;;;24;3,23699;-3;;24;2,55177;25
;;;25;3,2318;-3;;25;2,54867;41
;;;26;3,22663;-5;;26;2,54558;64
;;;27;3,22148;-4;;27;2,5425;93
;;;28;3,21634;-4;;28;2,53943;133
;;;29;3,21122;-5;;29;2,53636;190
;;;30;3,20611;-4;;30;2,5333;259
;;;31;3,20102;-2;;31;2,53025;350
;;;32;3,19595;-4;;32;2,5272;448
;;;33;3,19089;-3;;33;2,52417;573
;;;34;3,18585;0;;34;2,52114;714
;;;35;3,18083;-1;;35;2,51811;878
;;;36;3,17582;1;;36;2,5151;1065
;;;37;3,17082;4;;37;2,51209;1269
;;;38;3,16585;4;;38;2,50909;1494
;;;39;3,16088;4;;39;2,50609;1743
;;;40;3,15594;1;;40;2,50311;2009
;;;41;3,15101;2;;41;2,50013;2282
;;;42;3,14609;2;;42;2,49715;2563
;;;43;3,14119;4;;43;2,49419;2846
;;;44;3,1363;6;;44;2,49123;3123
;;;45;3,13143;9;;45;2,48828;3394
;;;46;3,12658;10;;46;2,48533;3656
;;;47;3,12174;12;;47;2,48239;3912
;;;48;3,11691;12;;48;2,47946;4150
;;;49;3,1121;10;;49;2,47654;4370
;;;50;3,10731;8;;50;2,47362;4572
;;;51;3,10253;5;;51;2,47071;4747
;;;52;3,09776;3;;52;2,46781;4893
;;;53;3,09301;0;;53;2,46491;5018
;;;54;3,08828;0;;54;2,46202;5120
;;;55;3,08355;0;;55;2,45914;5191
;;;56;3,07885;0;;56;2,45626;5240
;;;57;3,07415;-1;;57;2,45339;5261
;;;58;3,06947;0;;58;2,45053;5267
;;;59;3,06481;0;;59;2,44768;5238
;;;60;3,06016;0;;60;2,44483;5203
;;;61;3,05552;0;;61;2,44198;5142
;;;62;3,0509;0;;62;2,43915;5070
;;;63;3,04629;-1;;63;2,43632;4985
;;;64;3,0417;-2;;64;2,43349;4887
;;;65;3,03711;-1;;65;2,43068;4773
;;;66;3,03255;-3;;66;2,42787;4646
;;;67;3,02799;-6;;67;2,42506;4518
;;;68;3,02345;-4;;68;2,42227;4383
;;;69;3,01893;-4;;69;2,41948;4249
;;;70;3,01442;-3;;70;2,41669;4103
;;;71;3,00992;-5;;71;2,41391;3957
;;;72;3,00543;-3;;72;2,41114;3805
;;;73;3,00096;0;;73;2,40838;3654
;;;74;2,9965;0;;74;2,40562;3502
;;;75;2,99205;1;;75;2,40287;3353
;;;76;2,98762;1;;76;2,40012;3202
;;;77;2,9832;2;;77;2,39738;3047
;;;78;2,97879;0;;78;2,39465;2901
;;;79;2,9744;0;;79;2,39192;2761
;;;80;2,97002;-2;;80;2,3892;2625
;;;81;2,96565;-2;;81;2,38648;2496
;;;82;2,9613;-3;;82;2,38377;2369
;;;83;2,95696;-3;;83;2,38107;2251
;;;84;2,95263;-2;;84;2,37838;2126
;;;85;2,94831;0;;85;2,37569;2012
;;;86;2,94401;0;;86;2,373;1905
;;;87;2,93971;0;;87;2,37032;1800
;;;88;2,93544;0;;88;2,36765;1697
;;;89;2,93117;3;;89;2,36498;1606
;;;90;2,92691;4;;90;2,36232;1518
;;;91;2,92267;4;;91;2,35967;1434
;;;92;2,91844;2;;92;2,35702;1360
;;;93;2,91423;7;;93;2,35438;1288
;;;94;2,91002;6;;94;2,35174;1223
;;;95;2,90583;7;;95;2,34911;1159
;;;96;2,90165;8;;96;2,34649;1091
;;;97;2,89748;4;;97;2,34387;1037
;;;98;2,89332;2;;98;2,34126;986
;;;99;2,88917;-1;;99;2,33865;933
;;;100;2,88504;-2;;100;2,33605;890
;;;101;2,88092;-4;;101;2,33345;845
;;;102;2,87681;-4;;102;2,33086;806
;;;103;2,87271;-4;;103;2,32828;771
;;;104;2,86863;-4;;104;2,3257;737
;;;105;2,86455;-1;;105;2,32313;704
;;;106;2,86049;0;;106;2,32056;681
;;;107;2,85644;0;;107;2,318;651
;;;108;2,8524;3;;108;2,31544;627
;;;109;2,84837;5;;109;2,31289;610
;;;110;2,84435;6;;110;2,31035;592
;;;111;2,84034;7;;111;2,30781;584
;;;112;2,83635;9;;112;2,30528;579
;;;113;2,83237;7;;113;2,30275;574
;;;114;2,82839;5;;114;2,30023;565
;;;115;2,82443;8;;115;2,29771;560
;;;116;2,82048;7;;116;2,2952;552
;;;117;2,81654;7;;117;2,29269;545
;;;118;2,81261;6;;118;2,29019;543
;;;119;2,8087;8;;119;2,2877;545
;;;120;2,80479;12;;120;2,28521;546
;;;121;2,80089;14;;121;2,28272;543
;;;122;2,79701;16;;122;2,28025;553
;;;123;2,79314;16;;123;2,27777;559
;;;124;2,78927;20;;124;2,2753;580
;;;125;2,78542;22;;125;2,27284;602
;;;126;2,78158;24;;126;2,27038;629
;;;127;2,77775;27;;127;2,26793;661
;;;128;2,77393;29;;128;2,26549;703
;;;129;2,77012;29;;129;2,26304;752
;;;130;2,76632;34;;130;2,26061;816
;;;131;2,76253;40;;131;2,25818;888
;;;132;2,75875;42;;132;2,25575;972
;;;133;2,75498;41;;133;2,25333;1065
;;;134;2,75122;41;;134;2,25092;1171
;;;135;2,74747;40;;135;2,24851;1290
;;;136;2,74373;44;;136;2,2461;1423
;;;137;2,74001;45;;137;2,2437;1565
;;;138;2,73629;48;;138;2,24131;1705
;;;139;2,73258;48;;139;2,23892;1844
;;;140;2,72888;46;;140;2,23653;1988
;;;141;2,72519;51;;141;2,23416;2124
;;;142;2,72152;52;;142;2,23178;2265
;;;143;2,71785;53;;143;2,22941;2398
;;;144;2,71419;55;;144;2,22705;2521
;;;145;2,71054;54;;145;2,22469;2640
;;;146;2,7069;53;;146;2,22233;2755
;;;147;2,70328;53;;147;2,21998;2856
;;;148;2,69966;52;;148;2,21764;2947
;;;149;2,69605;52;;149;2,2153;3028
;;;150;2,69245;51;;150;2,21297;3091
;;;151;2,68886;48;;151;2,21064;3146
;;;152;2,68528;45;;152;2,20831;3192
;;;153;2,68171;42;;153;2,20599;3222
;;;154;2,67815;43;;154;2,20368;3242
;;;155;2,67459;38;;155;2,20137;3254
;;;156;2,67105;37;;156;2,19906;3256
;;;157;2,66752;34;;157;2,19676;3244
;;;158;2,66399;33;;158;2,19447;3230
;;;159;2,66048;29;;159;2,19218;3207
;;;160;2,65697;31;;160;2,18989;3176
;;;161;2,65348;28;;161;2,18761;3136
;;;162;2,64999;33;;162;2,18533;3098
;;;163;2,64651;39;;163;2,18306;3045
;;;164;2,64305;46;;164;2,1808;2987
;;;165;2,63959;54;;165;2,17853;2930
;;;166;2,63614;64;;166;2,17628;2873
;;;167;2,63269;74;;167;2,17402;2810
;;;168;2,62926;91;;168;2,17177;2753
;;;169;2,62584;109;;169;2,16953;2695
;;;170;2,62242;132;;170;2,16729;2635
;;;171;2,61902;160;;171;2,16506;2576
;;;172;2,61562;193;;172;2,16283;2521
;;;173;2,61223;226;;173;2,1606;2466
;;;174;2,60885;263;;174;2,15838;2415
;;;175;2,60548;303;;175;2,15617;2372
;;;176;2,60212;342;;176;2,15395;2326
;;;177;2,59877;385;;177;2,15175;2282
;;;178;2,59542;428;;178;2,14955;2241
;;;179;2,59209;468;;179;2,14735;2204
;;;180;2,58876;510;;180;2,14515;2167
;;;181;2,58544;548;;181;2,14297;2139
;;;182;2,58213;587;;182;2,14078;2110
;;;183;2,57883;619;;183;2,1386;2082
;;;184;2,57554;646;;184;2,13642;2059
;;;185;2,57225;670;;185;2,13425;2035
;;;186;2,56897;688;;186;2,13209;2008
;;;187;2,5657;697;;187;2,12992;1989
;;;188;2,56244;698;;188;2,12777;1958
;;;189;2,55919;695;;189;2,12561;1944
;;;190;2,55595;688;;190;2,12346;1922
;;;191;2,55271;678;;191;2,12132;1905
;;;192;2,54949;662;;192;2,11918;1891
;;;193;2,54627;641;;193;2,11704;1875
;;;194;2,54306;617;;194;2,11491;1867
;;;195;2,53985;588;;195;2,11278;1855
;;;196;2,53666;564;;196;2,11066;1851
;;;197;2,53347;536;;197;2,10854;1853
;;;198;2,53029;503;;198;2,10643;1853
;;;199;2,52712;474;;199;2,10431;1861
;;;200;2,52396;447;;200;2,10221;1875
;;;201;2,5208;419;;201;2,10011;1902
;;;202;2,51766;393;;202;2,09801;1938
;;;203;2,51452;369;;203;2,09591;1979
;;;204;2,51139;348;;204;2,09382;2036
;;;205;2,50826;337;;205;2,09174;2103
;;;206;2,50515;332;;206;2,08966;2170
;;;207;2,50204;332;;207;2,08758;2240
;;;208;2,49894;342;;208;2,08551;2317
;;;209;2,49585;363;;209;2,08344;2393
;;;210;2,49276;401;;210;2,08137;2472
;;;211;2,48968;456;;211;2,07931;2556
;;;212;2,48661;528;;212;2,07726;2637
;;;213;2,48355;624;;213;2,0752;2719
;;;214;2,4805;737;;214;2,07315;2795
;;;215;2,47745;870;;215;2,07111;2872
;;;216;2,47441;1026;;216;2,06907;2950
;;;217;2,47138;1197;;217;2,06703;3014
;;;218;2,46835;1392;;218;2,065;3074
;;;219;2,46533;1607;;219;2,06297;3125
;;;220;2,46232;1844;;220;2,06095;3166
;;;221;2,45932;2094;;221;2,05893;3200
;;;222;2,45633;2357;;222;2,05691;3222
;;;223;2,45334;2631;;223;2,0549;3237
;;;224;2,45036;2914;;224;2,05289;3242
;;;225;2,44738;3200;;225;2,05088;3234
;;;226;2,44442;3487;;226;2,04888;3220
;;;227;2,44146;3774;;227;2,04689;3202
;;;228;2,43851;4053;;228;2,04489;3182
;;;229;2,43556;4327;;229;2,0429;3149
;;;230;2,43262;4592;;230;2,04092;3118
;;;231;2,42969;4842;;231;2,03894;3078
;;;232;2,42677;5074;;232;2,03696;3028
;;;233;2,42385;5284;;233;2,03499;2980
;;;234;2,42094;5477;;234;2,03302;2926
;;;235;2,41804;5648;;235;2,03105;2864
;;;236;2,41514;5797;;236;2,02909;2802
;;;237;2,41225;5922;;237;2,02713;2738
;;;238;2,40937;6023;;238;2,02517;2669
;;;239;2,4065;6102;;239;2,02322;2601
;;;240;2,40363;6162;;240;2,02128;2523
;;;241;2,40077;6200;;241;2,01933;2447
;;;242;2,39791;6212;;242;2,01739;2379
;;;243;2,39506;6207;;243;2,01546;2312
;;;244;2,39222;6177;;244;2,01352;2245
;;;245;2,38939;6127;;245;2,0116;2177
;;;246;2,38656;6059;;246;2,00967;2113
;;;247;2,38374;5976;;247;2,00775;2049
;;;248;2,38093;5877;;248;2,00583;1983
;;;249;2,37812;5764;;249;2,00392;1917
;;;250;2,37532;5634;;250;2,00201;1861
;;;251;2,37252;5499;;251;2,0001;1806
;;;252;2,36973;5349;;252;1,9982;1750
;;;253;2,36695;5190;;253;1,9963;1703
;;;254;2,36418;5023;;254;1,9944;1655
;;;255;2,36141;4850;;255;1,99251;1616
;;;256;2,35865;4670;;256;1,99062;1578
;;;257;2,35589;4486;;257;1,98874;1542
;;;258;2,35314;4297;;258;1,98686;1505
;;;259;2,3504;4105;;259;1,98498;1474
;;;260;2,34766;3910;;260;1,9831;1443
;;;261;2,34493;3714;;261;1,98123;1418
;;;262;2,34221;3523;;262;1,97936;1394
;;;263;2,33949;3333;;263;1,9775;1373
;;;264;2,33678;3149;;264;1,97564;1357
;;;265;2,33408;2973;;265;1,97378;1343
;;;266;2,33138;2798;;266;1,97193;1336
;;;267;2,32869;2635;;267;1,97008;1327
;;;268;2,326;2482;;268;1,96823;1319
;;;269;2,32332;2344;;269;1,96639;1312
;;;270;2,32065;2217;;270;1,96455;1303
;;;271;2,31798;2108;;271;1,96272;1300
;;;272;2,31532;2013;;272;1,96088;1293
;;;273;2,31267;1937;;273;1,95905;1296
;;;274;2,31002;1882;;274;1,95723;1292
;;;275;2,30737;1842;;275;1,95541;1283
;;;276;2,30474;1827;;276;1,95359;1276
;;;277;2,30211;1832;;277;1,95177;1269
;;;278;2,29948;1857;;278;1,94996;1256
;;;279;2,29686;1903;;279;1,94815;1242
;;;280;2,29425;1968;;280;1,94634;1222
;;;281;2,29164;2049;;281;1,94454;1202
;;;282;2,28904;2145;;282;1,94274;1179
;;;283;2,28644;2256;;283;1,94095;1168
;;;284;2,28386;2375;;284;1,93916;1152
;;;285;2,28127;2506;;285;1,93737;1137
;;;286;2,27869;2642;;286;1,93558;1117
;;;287;2,27612;2784;;287;1,9338;1094
;;;288;2,27356;2925;;288;1,93202;1073
;;;289;2,271;3068;;289;1,93024;1053
;;;290;2,26844;3209;;290;1,92847;1027
;;;291;2,26589;3344;;291;1,9267;1007
;;;292;2,26335;3472;;292;1,92494;989
;;;293;2,26081;3585;;293;1,92317;969
;;;294;2,25828;3691;;294;1,92141;952
;;;295;2,25575;3780;;295;1,91966;936
;;;296;2,25323;3853;;296;1,9179;910
;;;297;2,25072;3912;;297;1,91615;895
;;;298;2,24821;3962;;298;1,91441;883
;;;299;2,24571;3991;;299;1,91266;863
;;;300;2,24321;3999;;300;1,91092;843
;;;301;2,24072;3988;;301;1,90919;822
;;;302;2,23823;3958;;302;1,90745;806
;;;303;2,23575;3910;;303;1,90572;792
;;;304;2,23327;3847;;304;1,90399;769
;;;305;2,2308;3765;;305;1,90227;757
;;;306;2,22834;3663;;306;1,90055;742
;;;307;2,22588;3548;;307;1,89883;722
;;;308;2,22342;3420;;308;1,89711;708
;;;309;2,22097;3323;;309;1,8954;697
;;;310;2,21853;3196;;310;1,89369;685
;;;311;2,21609;3039;;311;1,89199;680
;;;312;2,21366;2857;;312;1,89028;673
;;;313;2,21123;2647;;313;1,88858;667
;;;314;2,20881;2421;;314;1,88689;668
;;;315;2,20639;2177;;315;1,88519;678
;;;316;2,20398;1928;;316;1,8835;691
;;;317;2,20158;1671;;317;1,88182;714
;;;318;2,19918;1415;;318;1,88013;734
;;;319;2,19678;1215;;319;1,87845;760
;;;320;2,19439;1038;;320;1,87677;788
;;;321;2,192;891;;321;1,87509;821
;;;322;2,18962;768;;322;1,87342;855
;;;323;2,18725;670;;323;1,87175;889
;;;324;2,18488;594;;324;1,87009;935
;;;325;2,18252;545;;325;1,86842;984
;;;326;2,18016;518;;326;1,86676;1036
;;;327;2,1778;510;;327;1,8651;1094
;;;328;2,17545;524;;328;1,86345;1147
;;;329;2,17311;551;;329;1,8618;1212
;;;330;2,17077;592;;330;1,86015;1276
;;;331;2,16843;643;;331;1,8585;1336
;;;332;2,16611;698;;332;1,85686;1391
;;;333;2,16378;757;;333;1,85522;1438
;;;334;2,16146;822;;334;1,85358;1487
;;;335;2,15915;885;;335;1,85195;1522
;;;336;2,15684;944;;336;1,85031;1548
;;;337;2,15453;997;;337;1,84868;1572
;;;338;2,15223;1041;;338;1,84706;1589
;;;339;2,14994;1078;;339;1,84544;1598
;;;340;2,14765;1103;;340;1,84382;1606
;;;341;2,14537;1120;;341;1,8422;1605
;;;342;2,14309;1127;;342;1,84058;1594
;;;343;2,14081;1121;;343;1,83897;1578
;;;344;2,13854;1100;;344;1,83736;1558
;;;345;2,13628;1071;;345;1,83576;1531
;;;346;2,13401;1029;;346;1,83415;1500
;;;347;2,13176;977;;347;1,83255;1465
;;;348;2,12951;924;;348;1,83096;1427
;;;349;2,12726;858;;349;1,82936;1396
;;;350;2,12502;795;;350;1,82777;1363
;;;351;2,12278;724;;351;1,82618;1322
;;;352;2,12055;653;;352;1,82459;1289
;;;353;2,11832;585;;353;1,82301;1249
;;;354;2,1161;519;;354;1,82143;1215
;;;355;2,11388;458;;355;1,81985;1184
;;;356;2,11167;402;;356;1,81827;1154
;;;357;2,10946;351;;357;1,8167;1117
;;;358;2,10726;303;;358;1,81513;1091
;;;359;2,10506;266;;359;1,81356;1070
;;;360;2,10286;236;;360;1,812;1043
;;;361;2,10067;216;;361;1,81044;1021
;;;362;2,09848;222;;362;1,80888;1003
;;;363;2,0963;232;;363;1,80732;979
;;;364;2,09413;251;;364;1,80577;964
;;;365;2,09195;273;;365;1,80421;943
;;;366;2,08979;300;;366;1,80267;930
;;;367;2,08762;328;;367;1,80112;913
;;;368;2,08546;354;;368;1,79958;903
;;;369;2,08331;382;;369;1,79804;892
;;;370;2,08116;404;;370;1,7965;879
;;;371;2,07901;425;;371;1,79496;868
;;;372;2,07687;441;;372;1,79343;862
;;;373;2,07474;457;;373;1,7919;856
;;;374;2,0726;470;;374;1,79037;856
;;;375;2,07048;486;;375;1,78885;853
;;;376;2,06835;506;;376;1,78732;853
;;;377;2,06623;526;;377;1,7858;853
;;;378;2,06412;546;;378;1,78429;858
;;;379;2,06201;565;;379;1,78277;849
;;;380;2,0599;582;;380;1,78126;846
;;;381;2,0578;603;;381;1,77975;842
;;;382;2,0557;624;;382;1,77824;839
;;;383;2,05361;641;;383;1,77674;839
;;;384;2,05152;661;;384;1,77524;834
;;;385;2,04943;675;;385;1,77374;832
;;;386;2,04735;695;;386;1,77224;825
;;;387;2,04528;710;;387;1,77075;826
;;;388;2,04321;723;;388;1,76926;818
;;;389;2,04114;735;;389;1,76777;821
;;;390;2,03907;743;;390;1,76628;818
;;;391;2,03701;749;;391;1,76479;812
;;;392;2,03496;750;;392;1,76331;805
;;;393;2,03291;743;;393;1,76183;808
;;;394;2,03086;736;;394;1,76036;805
;;;395;2,02882;721;;395;1,75888;801
;;;396;2,02678;707;;396;1,75741;801
;;;397;2,02474;689;;397;1,75594;801
;;;398;2,02271;666;;398;1,75447;799
;;;399;2,02069;640;;399;1,75301;802
;;;400;2,01866;612;;400;1,75155;797
;;;401;2,01664;589;;401;1,75009;794
;;;402;2,01463;564;;402;1,74863;795
;;;403;2,01262;541;;403;1,74718;791
;;;404;2,01061;516;;404;1,74572;791
;;;405;2,00861;496;;405;1,74427;788
;;;406;2,00661;476;;406;1,74283;779
;;;407;2,00462;458;;407;1,74138;778
;;;408;2,00263;441;;408;1,73994;774
;;;409;2,00064;426;;409;1,7385;768
;;;410;1,99866;412;;410;1,73706;768
;;;411;1,99668;399;;411;1,73562;775
;;;412;1,9947;387;;412;1,73419;774
;;;413;1,99273;376;;413;1,73276;781
;;;414;1,99076;370;;414;1,73133;785
;;;415;1,9888;365;;415;1,72991;788
;;;416;1,98684;358;;416;1,72848;787
;;;417;1,98489;352;;417;1,72706;782
;;;418;1,98293;343;;418;1,72564;779
;;;419;1,98099;337;;419;1,72422;775
;;;420;1,97904;331;;420;1,72281;771
;;;421;1,9771;327;;421;1,7214;772
;;;422;1,97517;320;;422;1,71999;765
;;;423;1,97323;311;;423;1,71858;764
;;;424;1,9713;303;;424;1,71718;767
;;;425;1,96938;289;;425;1,71577;765
;;;426;1,96746;278;;426;1,71437;768
;;;427;1,96554;266;;427;1,71297;777
;;;428;1,96363;251;;428;1,71158;779
;;;429;1,96172;237;;429;1,71018;787
;;;430;1,95981;222;;430;1,70879;787
;;;431;1,95791;214;;431;1,7074;789
;;;432;1,95601;204;;432;1,70602;792
;;;433;1,95411;195;;433;1,70463;797
;;;434;1,95222;190;;434;1,70325;799
;;;435;1,95033;180;;435;1,70187;804
;;;436;1,94845;169;;436;1,70049;805
;;;437;1,94657;163;;437;1,69911;812
;;;438;1,94469;152;;438;1,69774;821
;;;439;1,94282;143;;439;1,69637;834
;;;440;1,94095;135;;440;1,695;845
;;;441;1,93908;128;;441;1,69363;859
;;;442;1,93722;120;;442;1,69227;875
;;;443;1,93536;115;;443;1,69091;892
;;;444;1,9335;110;;444;1,68955;913
;;;445;1,93165;105;;445;1,68819;936
;;;446;1,9298;104;;446;1,68683;953
;;;447;1,92796;99;;447;1,68548;977
;;;448;1,92612;96;;448;1,68413;993
;;;449;1,92428;96;;449;1,68278;1011
;;;450;1,92244;91;;450;1,68143;1033
;;;451;1,92061;90;;451;1,68008;1053
;;;452;1,91879;87;;452;1,67874;1070
;;;453;1,91696;89;;453;1,6774;1091
;;;454;1,91514;89;;454;1,67606;1114
;;;455;1,91332;92;;455;1,67473;1137
;;;456;1,91151;96;;456;1,67339;1162
;;;457;1,9097;101;;457;1,67206;1177
;;;458;1,90789;102;;458;1,67073;1195
;;;459;1,90609;103;;459;1,6694;1211
;;;460;1,90429;107;;460;1,66807;1223
;;;461;1,90249;108;;461;1,66675;1232
;;;462;1,9007;109;;462;1,66543;1239
;;;463;1,89891;108;;463;1,66411;1242
;;;464;1,89713;112;;464;1,66279;1238
;;;465;1,89534;111;;465;1,66148;1239
;;;466;1,89356;112;;466;1,66016;1228
;;;467;1,89179;110;;467;1,65885;1223
;;;468;1,89001;108;;468;1,65754;1216
;;;469;1,88824;108;;469;1,65623;1205
;;;470;1,88648;108;;470;1,65493;1195
;;;471;1,88471;114;;471;1,65363;1178
;;;472;1,88295;116;;472;1,65233;1162
;;;473;1,8812;119;;473;1,65103;1144
;;;474;1,87944;120;;474;1,64973;1122
;;;475;1,87769;116;;475;1,64843;1102
;;;476;1,87595;117;;476;1,64714;1083
;;;477;1,8742;116;;477;1,64585;1073
;;;478;1,87246;112;;478;1,64456;1057
;;;479;1,87073;111;;479;1,64328;1051
;;;480;1,86899;108;;480;1,64199;1041
;;;481;1,86726;108;;481;1,64071;1028
;;;482;1,86554;106;;482;1,63943;1019
;;;483;1,86381;104;;483;1,63815;1020
;;;484;1,86209;101;;484;1,63687;1006
;;;485;1,86037;97;;485;1,6356;1003
;;;486;1,85866;95;;486;1,63432;990
;;;487;1,85695;94;;487;1,63305;979
;;;488;1,85524;92;;488;1,63178;966
;;;489;1,85353;93;;489;1,63052;954
;;;490;1,85183;93;;490;1,62925;952
;;;491;1,85013;92;;491;1,62799;945
;;;492;1,84844;91;;492;1,62673;935
;;;493;1,84674;91;;493;1,62547;930
;;;494;1,84505;91;;494;1,62421;927
;;;495;1,84337;91;;495;1,62296;926
;;;496;1,84168;89;;496;1,6217;925
;;;497;1,84;87;;497;1,62045;923
;;;498;1,83833;85;;498;1,6192;922
;;;499;1,83665;80;;499;1,61796;920
;;;500;1,83498;77;;500;1,61671;922
;;;501;1,83331;75;;501;1,61547;920
;;;502;1,83165;70;;502;1,61422;922
;;;503;1,82999;69;;503;1,61298;926
;;;504;1,82833;70;;504;1,61175;937
;;;505;1,82667;69;;505;1,61051;937
;;;506;1,82502;74;;506;1,60928;939
;;;507;1,82337;73;;507;1,60804;936
;;;508;1,82172;78;;508;1,60681;929
;;;509;1,82008;81;;509;1,60559;932
;;;510;1,81843;83;;510;1,60436;929
;;;511;1,8168;87;;511;1,60313;930
;;;512;1,81516;87;;512;1,60191;929
;;;513;1,81353;93;;513;1,60069;926
;;;514;1,8119;99;;514;1,59947;929
;;;515;1,81027;108;;515;1,59825;926
;;;516;1,80865;116;;516;1,59704;923
;;;517;1,80703;124;;517;1,59583;922
;;;518;1,80541;135;;518;1,59461;917
;;;519;1,8038;143;;519;1,5934;916
;;;520;1,80218;157;;520;1,5922;909
;;;521;1,80057;168;;521;1,59099;905
;;;522;1,79897;180;;522;1,58978;895
;;;523;1,79737;193;;523;1,58858;885
;;;524;1,79576;202;;524;1,58738;875
;;;525;1,79417;213;;525;1,58618;868
;;;526;1,79257;224;;526;1,58499;859
;;;527;1,79098;237;;527;1,58379;851
;;;528;1,78939;249;;528;1,5826;849
;;;529;1,7878;262;;529;1,5814;843
;;;530;1,78622;273;;530;1,58022;834
;;;531;1,78464;283;;531;1,57903;832
;;;532;1,78306;286;;532;1,57784;824
;;;533;1,78149;292;;533;1,57666;818
;;;534;1,77992;295;;534;1,57547;809
;;;535;1,77835;295;;535;1,57429;804
;;;536;1,77678;296;;536;1,57311;794
;;;537;1,77521;295;;537;1,57194;792
;;;538;1,77365;291;;538;1,57076;787
;;;539;1,77209;285;;539;1,56959;779
;;;540;1,77054;278;;540;1,56841;778
;;;541;1,76899;274;;541;1,56724;777
;;;542;1,76744;265;;542;1,56607;777
;;;543;1,76589;251;;543;1,56491;782
;;;544;1,76434;245;;544;1,56374;782
;;;545;1,7628;231;;545;1,56258;784
;;;546;1,76126;223;;546;1,56142;785
;;;547;1,75972;212;;547;1,56026;789
;;;548;1,75819;202;;548;1,5591;791
;;;549;1,75666;192;;549;1,55794;795
;;;550;1,75513;183;;550;1,55679;805
;;;551;1,7536;173;;551;1,55563;812
;;;552;1,75208;166;;552;1,55448;822
;;;553;1,75056;157;;553;1,55333;834
;;;554;1,74904;149;;554;1,55218;839
;;;555;1,74753;142;;555;1,55104;849
;;;556;1,74601;129;;556;1,54989;861
;;;557;1,7445;121;;557;1,54875;872
;;;558;1,74299;112;;558;1,54761;883
;;;559;1,74149;102;;559;1,54647;902
;;;560;1,73999;98;;560;1,54533;912
;;;561;1,73849;88;;561;1,5442;915
;;;562;1,73699;80;;562;1,54306;927
;;;563;1,73549;75;;563;1,54193;937
;;;564;1,734;72;;564;1,5408;953
;;;565;1,73251;69;;565;1,53967;964
;;;566;1,73102;66;;566;1,53854;967
;;;567;1,72954;65;;567;1,53741;973
;;;568;1,72806;61;;568;1,53629;982
;;;569;1,72658;58;;569;1,53517;987
;;;570;1,7251;56;;570;1,53404;990
;;;571;1,72363;52;;571;1,53292;994
;;;572;1,72216;47;;572;1,53181;990
;;;573;1,72069;48;;573;1,53069;987
;;;574;1,71922;45;;574;1,52957;984
;;;575;1,71775;45;;575;1,52846;982
;;;576;1,71629;46;;576;1,52735;982
;;;577;1,71483;48;;577;1,52624;979
;;;578;1,71338;48;;578;1,52513;970
;;;579;1,71192;46;;579;1,52402;960
;;;580;1,71047;45;;580;1,52292;947
;;;581;1,70902;42;;581;1,52182;935
;;;582;1,70757;43;;582;1,52071;919
;;;583;1,70613;43;;583;1,51961;906
;;;584;1,70469;42;;584;1,51851;889
;;;585;1,70325;42;;585;1,51742;878
;;;586;1,70181;42;;586;1,51632;858
;;;587;1,70037;43;;587;1,51523;835
;;;588;1,69894;44;;588;1,51414;811
;;;589;1,69751;45;;589;1,51304;791
;;;590;1,69608;41;;590;1,51196;774
;;;591;1,69466;41;;591;1,51087;757
;;;592;1,69324;40;;592;1,50978;734
;;;593;1,69182;40;;593;1,5087;717
;;;594;1,6904;41;;594;1,50761;707
;;;595;1,68898;43;;595;1,50653;690
;;;596;1,68757;41;;596;1,50545;670
;;;597;1,68616;45;;597;1,50437;653
;;;598;1,68475;43;;598;1,5033;640
;;;599;1,68334;41;;599;1,50222;626
;;;600;1,68194;45;;600;1,50115;616
;;;601;1,68054;45;;601;1,50008;599
;;;602;1,67914;48;;602;1,499;592
;;;603;1,67774;49;;603;1,49794;579
;;;604;1,67635;49;;604;1,49687;570
;;;605;1,67495;49;;605;1,4958;560
;;;606;1,67356;49;;606;1,49474;546
;;;607;1,67218;49;;607;1,49367;537
;;;608;1,67079;49;;608;1,49261;526
;;;609;1,66941;48;;609;1,49155;520
;;;610;1,66803;49;;610;1,49049;509
;;;611;1,66665;49;;611;1,48944;505
;;;612;1,66527;49;;612;1,48838;499
